folio,nro,Real,Prediccion_RF,Probabilidad_RF,Prediccion_LR,Probabilidad_LR
951-001039-D-0011,4.0,1,1,0.9018866677778491,1,0.6947034767724646
113-001020-A-0111,3.0,1,1,1.0,1,0.9521771438372308
213-001862-A-0261,4.0,1,1,0.9929249786077787,1,0.9449639774458043
443-004549-A-0041,4.0,1,1,0.8455015845732773,1,0.9645551130656381
713-005519-A-0141,10.0,1,1,0.8934426915154196,0,0.3007073474715702
311-000019-A-0181,3.0,1,1,0.6060863206228752,0,0.39148723032666166
251-028611-D-0041,3.0,1,1,0.9146175350958762,1,0.532726131351888
713-007814-A-0511,2.0,1,1,0.8894346582606725,1,0.6795195709237511
713-004579-A-0661,3.0,1,1,0.8004175576467198,1,0.9685763690985331
713-006619-A-0021,3.0,1,1,0.968477624502343,1,0.9241612911845525
152-004376-D-0081,6.0,1,1,0.5849952713666124,1,0.8999435381746245
722-013982-A-0181,2.0,1,1,0.7536133557164759,0,0.3069175854241268
444-004785-A-0061,2.0,1,1,0.97067039063295,1,0.8327079417910378
953-000688-D-0071,6.0,1,1,0.9010934512897133,1,0.9104297052142905
553-006047-D-0291,5.0,1,1,0.6993613171088366,0,0.4708776423375491
344-013086-A-0071,4.0,1,1,0.5569103927813575,0,0.39098187409351076
652-004259-D-0031,6.0,1,1,0.912040242040918,1,0.5799531681896125
622-001950-A-0201,3.0,1,1,0.9066322288135517,1,0.6284302586843622
824-002121-A-0011,3.0,1,1,0.7768347686536032,1,0.9437897615388745
751-021735-D-0121,3.0,1,1,0.9246108905449321,1,0.6940698728995848
713-007234-A-0581,3.0,1,0,0.09337010462102455,0,0.2505391711640368
213-002964-A-0031,7.0,1,1,0.9872838555181314,1,0.9603355668585232
141-005121-D-0051,3.0,1,1,0.8405558174169482,0,0.44992213095036204
263-016275-A-0011,5.0,1,1,0.903816165749935,1,0.9514353158654834
343-015866-D-0071,4.0,1,1,0.6356923890025098,0,0.35436830803123787
351-015430-D-0121,3.0,1,1,0.7758910891880546,0,0.45336935577584137
712-003719-A-0411,5.0,1,1,0.8934591671703479,1,0.9148678928673103
912-000144-A-0061,4.0,1,1,0.9817348053204453,1,0.9547349949144283
911-000010-A-0071,3.0,1,1,0.9813319005264833,1,0.8359462340321032
351-015465-D-0151,3.0,1,1,0.9591333136944269,1,0.613989621198037
912-000257-A-0061,5.0,1,1,0.9904544739494541,1,0.8588025200805209
723-012334-A-0311,2.0,1,1,0.9758968333889804,1,0.5386539672722648
723-012334-A-0191,4.0,1,1,0.9695904025144825,1,0.6998084896330499
611-000006-A-0201,4.0,1,1,0.8965170642346468,1,0.9888104798856578
713-007520-A-0301,4.0,1,1,0.9878888969328233,1,0.8933066117254022
713-005970-A-0081,4.0,1,1,0.8075464963892955,1,0.9649088953781049
744-022007-D-0421,8.0,0,1,0.6387894497737611,0,0.38408214087529424
343-013265-A-0051,4.0,1,1,0.7817960380773072,1,0.5799128609960614
422-004035-A-0061,3.0,1,1,0.8467593231307184,1,0.5083265828519669
